epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,667.342,1.41115,1.25698,1.50915,0.62061,0.58732,0.59595,0.26707,1.78468,1.60972,1.94569,0.00155423,0.00155423,0.00155423
43,682.583,1.42213,1.2627,1.52757,0.72004,0.52825,0.64225,0.325,1.7643,1.56348,1.93606,0.00155148,0.00155148,0.00155148
44,697.843,1.43826,1.30766,1.51983,0.72564,0.52021,0.60994,0.30221,1.76384,1.53992,1.86455,0.00154873,0.00154873,0.00154873
45,713.169,1.41939,1.29793,1.51265,0.50783,0.67386,0.59206,0.27518,1.77844,1.60513,1.92952,0.00154598,0.00154598,0.00154598
46,728.532,1.42215,1.27703,1.52213,0.76842,0.44352,0.59663,0.30438,1.65873,1.42743,1.79309,0.00154323,0.00154323,0.00154323
47,743.877,1.38062,1.23006,1.49168,0.6236,0.63151,0.64514,0.30857,1.70422,1.53419,1.84117,0.00154047,0.00154047,0.00154047
48,759.104,1.38508,1.24756,1.50711,0.75906,0.44435,0.60565,0.29971,1.8077,1.57841,1.97976,0.00153772,0.00153772,0.00153772
49,774.454,1.38408,1.22674,1.50434,0.57798,0.71635,0.69878,0.34406,1.67627,1.44059,1.84569,0.00153497,0.00153497,0.00153497
50,790.046,1.39421,1.25658,1.48975,0.70831,0.62003,0.66945,0.36665,1.68857,1.45419,1.81586,0.00153222,0.00153222,0.00153222
51,805.437,1.3711,1.1856,1.46947,0.67541,0.53247,0.5938,0.29788,1.73894,1.43668,1.91538,0.00152947,0.00152947,0.00152947
52,820.737,1.36104,1.19879,1.48812,0.67694,0.61551,0.64565,0.29936,1.84149,1.48232,1.96531,0.00152672,0.00152672,0.00152672
53,836.087,1.35472,1.16752,1.46513,0.78149,0.53107,0.62363,0.35002,1.71657,1.45337,1.86454,0.00152397,0.00152397,0.00152397
54,851.515,1.34808,1.19558,1.46489,0.77038,0.5835,0.68468,0.36568,1.62414,1.30191,1.7858,0.00152122,0.00152122,0.00152122
55,866.992,1.33874,1.11487,1.44858,0.77805,0.56252,0.65969,0.34161,1.70788,1.43441,1.86902,0.00151847,0.00151847,0.00151847
56,882.405,1.30746,1.13468,1.43786,0.66938,0.67395,0.72018,0.34228,1.775,1.33906,1.93577,0.00151572,0.00151572,0.00151572
57,897.752,1.30125,1.12924,1.42044,0.63729,0.59864,0.64103,0.32809,1.6626,1.37206,1.80455,0.00151297,0.00151297,0.00151297
58,913.132,1.3297,1.14314,1.4429,0.57606,0.62883,0.63608,0.33026,1.66291,1.49725,1.79846,0.00151022,0.00151022,0.00151022
59,928.291,1.31171,1.07581,1.42784,0.62056,0.61728,0.62002,0.32021,1.73974,1.43586,1.93518,0.00150747,0.00150747,0.00150747
60,943.557,1.32657,1.12478,1.44852,0.8369,0.5401,0.71448,0.37853,1.64189,1.31792,1.8141,0.00150472,0.00150472,0.00150472
61,959.191,1.28672,1.07793,1.41575,0.76723,0.59508,0.69043,0.36002,1.60627,1.32586,1.77266,0.00150197,0.00150197,0.00150197
62,974.629,1.29532,1.0692,1.41921,0.66539,0.75034,0.75631,0.39853,1.67863,1.26833,1.851,0.00149922,0.00149922,0.00149922
63,990.029,1.29161,1.07028,1.40759,0.70989,0.59161,0.66541,0.35622,1.67755,1.60614,1.79502,0.00149647,0.00149647,0.00149647
64,1005.34,1.28946,1.06932,1.4036,0.79113,0.61728,0.74719,0.38115,1.73154,1.30242,1.91453,0.00149372,0.00149372,0.00149372
65,1020.61,1.28405,1.05231,1.42159,0.69272,0.5795,0.67024,0.32486,1.73408,1.52206,1.86248,0.00149096,0.00149096,0.00149096
66,1035.97,1.24834,1.04225,1.3787,0.70407,0.6235,0.68462,0.38868,1.64862,1.36719,1.79604,0.00148821,0.00148821,0.00148821
67,1051.3,1.25935,1.04947,1.37123,0.72213,0.62331,0.71913,0.39244,1.67987,1.29573,1.80152,0.00148546,0.00148546,0.00148546
68,1066.6,1.28085,1.06327,1.40055,0.68658,0.68309,0.73329,0.42057,1.61661,1.23633,1.76805,0.00148271,0.00148271,0.00148271
69,1082.03,1.21918,1.01673,1.37604,0.79712,0.56715,0.68367,0.3689,1.60458,1.28446,1.78351,0.00147996,0.00147996,0.00147996
70,1097.42,1.22169,0.99218,1.37596,0.64772,0.65193,0.68439,0.36043,1.60291,1.35025,1.78804,0.00147721,0.00147721,0.00147721
71,1112.73,1.22566,0.99755,1.36743,0.66122,0.67659,0.69764,0.3618,1.57645,1.22612,1.73007,0.00147446,0.00147446,0.00147446
